"","rank","name","year","number_of_user_rating.million","rating"
"175",175,"Kill Bill: Vol. 1",2003-12-08,0.816899,8.10617449910101
"176",176,"How to Train Your Dragon",2010-12-08,0.54484,8.10183447453105
"177",177,"Rang De Basanti",2006-12-08,0.085713,8.10013174893241
"178",178,"The Passion of Joan of Arc",1928-12-08,0.031184,8.09834281560889
"179",179,"Mary and Max",2009-12-08,0.134604,8.09756562022468
"180",180,"Gone Girl",2014-12-08,0.671165,8.09750076061582
"181",181,"Shutter Island",2010-12-08,0.896245,8.09601352494926
"182",182,"Into the Wild",2007-12-08,0.477775,8.09321566282125
"183",183,"La La Land",2016-12-08,0.326902,8.09250169809286
"184",184,"Life of Brian",1979-12-08,0.29972,8.08945931517502
"185",185,"It Happened One Night",1934-12-08,0.073315,8.0891740778519
"186",186,"Relatos salvajes",2014-12-08,0.121942,8.08586491065969
"187",187,"Logan",2017-12-08,0.412693,8.08487670236931
"188",188,"Platoon",1986-12-08,0.320771,8.08106307788291
"189",189,"The Wages of Fear",1953-12-08,0.040232,8.07880159526337
"190",190,"Hotel Rwanda",2004-12-08,0.289206,8.07847126077737
"191",191,"Network",1976-12-08,0.115995,8.07787383007766
"192",192,"In the Name of the Father",1993-12-08,0.124745,8.07744850285688
"193",193,"Stand by Me",1986-12-08,0.302854,8.07673394330861
"194",194,"Rush",2013-12-08,0.354673,8.07670144077057
"195",195,"A Wednesday",2008-12-08,0.055961,8.07448947214001
"196",196,"The Grand Budapest Hotel",2014-12-08,0.559423,8.07144799503116
"197",197,"Ben-Hur",1959-12-08,0.180368,8.0714354676304
"198",198,"Persona",1966-12-08,0.072093,8.07129734297136
"199",199,"Thor: Ragnarok",2017-12-08,0.160495,8.07080486641874
"200",200,"The 400 Blows",1959-12-08,0.079545,8.06896417302972
"201",201,"Jurassic Park",1993-12-08,0.694161,8.06838062565794
"202",202,"Memories of Murder",2003-12-08,0.082103,8.06824940880233
"203",203,"12 Years a Slave",2013-12-08,0.511605,8.06747530854894
"204",204,"Mad Max: Fury Road",2015-12-08,0.674466,8.06696094368854
"205",205,"Million Dollar Baby",2004-12-08,0.534649,8.06662898098192
"206",206,"Spotlight",2015-12-08,0.295749,8.06613865063773
"207",207,"Stalker",1979-12-08,0.08072,8.06378575769761
"208",208,"The Truman Show",1998-12-08,0.75062,8.06121205974298
"209",209,"Amores Perros",2000-12-08,0.189724,8.05982659778719
"210",210,"Butch Cassidy and the Sundance Kid",1969-12-08,0.168458,8.05941188282561
"211",211,"Hachi: A Dog's Tale",2009-12-08,0.190109,8.05511255468675
"212",212,"Nausicaä of the Valley of the Wind",1984-12-08,0.110791,8.05321543660235
"213",213,"Before Sunrise",1995-12-08,0.2102,8.05269089452594
"214",214,"The Princess Bride",1987-12-08,0.324791,8.05243332740184
"215",215,"The Maltese Falcon",1941-12-08,0.125477,8.05210151462977
"216",216,"Paper Moon",1973-12-08,0.027596,8.04545404565683
"217",217,"Prisoners",2013-12-08,0.459047,8.04492957209064
"218",218,"The Nights of Cabiria",1957-12-08,0.030787,8.04469406436004
"219",219,"Harry Potter and the Deathly Hallows: Part 2",2011-12-08,0.617017,8.04086628765155
"220",220,"The Grapes of Wrath",1940-12-08,0.070487,8.03895047072638
"221",221,"Rocky",1976-12-08,0.423289,8.03855997400526
"222",222,"Catch Me If You Can",2002-12-08,0.622441,8.03855171569104
"223",223,"Diabolique",1955-12-08,0.047788,8.03246037335337
"224",224,"Touch of Evil",1958-12-08,0.080638,8.03237312888591
"225",225,"Monsters, Inc.",2001-12-08,0.660336,8.03105733937948
"226",226,"Gandhi",1982-12-08,0.18927,8.03104011881344
"227",227,"Donnie Darko",2001-12-08,0.642757,8.03069539667191
"228",228,"Barry Lyndon",1975-12-08,0.114433,8.02722934850188
"229",229,"Annie Hall",1977-12-08,0.216708,8.02540656672572
"230",230,"The Terminator",1984-12-08,0.664391,8.02504306597921
"231",231,"The Bourne Ultimatum",2007-12-08,0.542404,8.02274835357915
"232",232,"Star Wars: The Force Awakens",2015-12-08,0.699545,8.02259721212043
"233",233,"The Wizard of Oz",1939-12-08,0.320445,8.02230537151772
"234",234,"Groundhog Day",1993-12-08,0.489576,8.0222038610189
"235",235,"La Haine",1995-12-08,0.117031,8.02167810641424
"236",236,"8½",1963-12-08,0.087837,8.02059170981893
"237",237,"Munna Bhai M.B.B.S.",2003-12-08,0.056068,8.01992071012211
"238",238,"Jaws",1975-12-08,0.460517,8.01665946448055
"239",239,"The Best Years of Our Lives",1946-12-08,0.045099,8.01541385075486
"240",240,"Twelve Monkeys",1995-12-08,0.505172,8.01450925236896
"241",241,"Infernal Affairs",2002-12-08,0.101472,8.01421894914585
"242",242,"Paris, Texas",1984-12-08,0.059287,8.01316245006047
"243",243,"In the Mood for Love",2000-12-08,0.088618,8.01301452768756
"244",244,"The Help",2011-12-08,0.35504,8.0126430736282
"245",245,"Dead Poets Society",1989-12-08,0.309465,8.01116076503148
"246",246,"Beauty and the Beast",1991-12-08,0.349875,8.01114821423217
"247",247,"Ah-ga-ssi",2016-12-08,0.048501,8.0107985356421
"248",248,"The Battle of Algiers",1966-12-08,0.04286,8.01028575752589
"249",249,"Pirates of the Caribbean: The Curse of the Black Pearl",2003-12-08,0.895318,8.00967994806482
"250",250,"Dog Day Afternoon",1975-12-08,0.201469,8.00960357627497
